date,open,high,low,close,volume,申万一级,债券代码,债券简称,symbol
2022-03-29,114.37,115.12,114.0,114.01,9000,纺织服饰,113638,台21转债,sh113638
2022-03-30,114.11,114.99,114.01,114.62,13370,纺织服饰,113638,台21转债,sh113638
2022-03-31,114.99,114.99,113.36,113.58,91680,纺织服饰,113638,台21转债,sh113638
2022-04-01,113.58,114.96,112.98,114.9,53170,纺织服饰,113638,台21转债,sh113638
2022-04-06,114.37,115.52,114.37,115.03,58510,纺织服饰,113638,台21转债,sh113638
2022-04-07,114.56,115.5,114.41,114.51,19050,纺织服饰,113638,台21转债,sh113638
2022-04-08,114.39,115.01,113.89,114.69,20370,纺织服饰,113638,台21转债,sh113638
2022-04-11,114.8,114.83,112.55,112.57,24280,纺织服饰,113638,台21转债,sh113638
2022-04-12,112.5,113.65,112.0,113.42,14110,纺织服饰,113638,台21转债,sh113638
2022-04-13,112.45,112.73,111.56,112.18,9470,纺织服饰,113638,台21转债,sh113638
2022-04-14,112.18,114.0,111.41,113.49,38360,纺织服饰,113638,台21转债,sh113638
2022-04-15,113.23,113.24,111.4,111.8,27570,纺织服饰,113638,台21转债,sh113638
2022-04-18,111.8,112.5,111.24,112.06,20080,纺织服饰,113638,台21转债,sh113638
2022-04-19,112.0,114.08,111.74,113.28,37140,纺织服饰,113638,台21转债,sh113638
2022-04-20,113.9,115.75,113.07,113.93,71730,纺织服饰,113638,台21转债,sh113638
2022-04-21,113.92,114.4,112.02,112.28,33190,纺织服饰,113638,台21转债,sh113638
2022-04-22,112.3,114.68,111.02,111.95,227970,纺织服饰,113638,台21转债,sh113638
2022-04-25,111.5,112.55,109.44,109.51,54930,纺织服饰,113638,台21转债,sh113638
2022-04-26,109.0,110.06,107.83,108.13,32040,纺织服饰,113638,台21转债,sh113638
2022-04-27,108.07,111.44,107.17,108.86,99460,纺织服饰,113638,台21转债,sh113638
2022-04-28,109.17,109.17,106.94,107.5,115760,纺织服饰,113638,台21转债,sh113638
2022-04-29,107.75,110.38,107.2,109.56,97430,纺织服饰,113638,台21转债,sh113638
2022-05-05,109.94,112.54,109.06,111.54,215720,纺织服饰,113638,台21转债,sh113638
2022-05-06,111.0,112.39,110.61,111.02,77740,纺织服饰,113638,台21转债,sh113638
2022-05-09,111.01,111.28,110.51,110.62,18380,纺织服饰,113638,台21转债,sh113638
2022-05-10,110.8,110.83,109.86,110.19,24010,纺织服饰,113638,台21转债,sh113638
2022-05-11,110.36,111.93,110.23,111.42,58010,纺织服饰,113638,台21转债,sh113638
2022-05-12,111.79,111.79,109.82,111.48,57940,纺织服饰,113638,台21转债,sh113638
2022-05-13,111.46,111.93,110.96,111.6,14900,纺织服饰,113638,台21转债,sh113638
2022-05-16,111.7,112.1,111.19,111.33,14130,纺织服饰,113638,台21转债,sh113638
2022-05-17,111.73,111.92,110.72,111.87,16280,纺织服饰,113638,台21转债,sh113638
2022-05-18,112.01,116.0,111.49,114.15,216310,纺织服饰,113638,台21转债,sh113638
2022-05-19,114.16,114.95,113.31,114.4,65280,纺织服饰,113638,台21转债,sh113638
2022-05-20,114.71,134.71,113.7,115.18,3195580,纺织服饰,113638,台21转债,sh113638
2022-05-23,116.0,119.29,115.21,116.27,1632150,纺织服饰,113638,台21转债,sh113638
